#name, rflam
5.980e-01_8.058e-01_1.621e-01_6.385e-01_5.258e-03_2.900e+01.h5, 0.566943
1.596e+00_9.940e-01_3.745e-01_5.814e-01_3.812e-02_3.200e+01.h5, 0.433835
8.774e-01_7.813e-01_6.970e-01_6.506e-02_1.916e-02_1.350e+02.h5, 0.490189
2.314e+00_1.087e+00_5.133e-01_5.153e-01_5.831e-02_1.170e+02.h5, 0.379212
2.117e+00_2.136e+00_1.146e+00_8.912e-01_9.894e-02_1.000e+01.h5, 0.669174
1.552e+00_1.276e+00_1.508e-01_1.044e+00_8.183e-02_3.300e+01.h5, 0.527463
2.544e+00_1.330e+00_2.118e-01_1.110e+00_7.984e-03_2.000e+01.h5, 0.421736
2.991e+00_1.461e+00_2.368e-01_1.191e+00_3.365e-02_2.520e+02.h5, 0.419083
7.095e-01_8.532e-01_2.991e-01_5.166e-01_3.740e-02_1.800e+01.h5, 0.550256
1.913e+00_1.501e+00_3.293e-01_1.117e+00_5.450e-02_1.200e+01.h5, 0.580190
1.137e+00_1.589e+00_4.649e-01_1.081e+00_4.313e-02_2.500e+01.h5, 0.729705
1.358e+00_7.718e-01_1.480e-01_6.059e-01_1.786e-02_1.220e+02.h5, 0.304418
2.913e+00_1.576e+00_2.280e-01_1.258e+00_8.993e-02_1.600e+01.h5, 0.474985
1.330e+00_1.422e+00_9.097e-01_4.262e-01_8.603e-02_3.700e+01.h5, 0.601814
1.535e+00_1.282e+00_6.696e-01_5.536e-01_5.888e-02_1.570e+02.h5, 0.540302
2.049e+00_1.044e+00_6.122e-01_4.279e-01_3.506e-03_3.300e+01.h5, 0.412006
1.284e+00_1.025e+00_1.796e-01_7.929e-01_5.282e-02_1.000e+01.h5, 0.491805
1.028e+00_1.384e+00_1.122e+00_2.122e-01_4.961e-02_5.100e+01.h5, 0.681168
1.815e+00_2.490e+00_1.911e+00_4.782e-01_1.006e-01_6.300e+01.h5, 0.755462
1.044e+00_1.066e+00_7.925e-01_2.294e-01_4.433e-02_8.200e+01.h5, 0.560315
2.396e+00_1.268e+00_9.965e-01_2.402e-01_3.072e-02_2.010e+02.h5, 0.520799
2.483e+00_1.239e+00_1.641e-01_1.055e+00_1.925e-02_8.900e+01.h5, 0.387874
1.469e+00_7.498e-01_1.266e-01_5.749e-01_4.830e-02_3.400e+01.h5, 0.302161
8.137e-01_7.710e-01_4.181e-01_3.318e-01_2.115e-02_1.900e+02.h5, 0.468453
1.686e+00_1.105e+00_6.151e-01_4.564e-01_3.333e-02_8.900e+01.h5, 0.471395
1.690e+00_1.041e+00_3.180e-01_6.874e-01_3.560e-02_6.500e+01.h5, 0.440213
1.297e+00_1.298e+00_6.690e-01_5.910e-01_3.754e-02_4.300e+01.h5, 0.564251
1.137e+00_8.141e-01_1.014e-01_6.581e-01_5.457e-02_2.450e+02.h5, 0.335669
1.091e+00_1.035e+00_3.935e-01_5.701e-01_7.151e-02_5.200e+01.h5, 0.523294
1.172e+00_9.122e-01_5.911e-01_3.190e-01_2.031e-03_8.300e+01.h5, 0.475859
9.307e-01_1.063e+00_1.544e-01_8.619e-01_4.651e-02_1.300e+01.h5, 0.605937
7.389e-01_7.130e-01_5.884e-01_8.384e-02_4.074e-02_2.060e+02.h5, 0.476349
1.567e+00_1.203e+00_1.028e+00_1.455e-01_2.925e-02_5.700e+01.h5, 0.601613
2.351e+00_1.486e+00_2.232e-01_1.164e+00_9.919e-02_1.400e+01.h5, 0.483120
2.135e+00_1.456e+00_4.833e-01_9.198e-01_5.303e-02_1.950e+02.h5, 0.496349
1.818e+00_9.395e-01_7.306e-01_2.062e-01_2.734e-03_1.700e+01.h5, 0.414514
1.580e+00_1.136e+00_3.030e-01_7.541e-01_7.906e-02_2.100e+01.h5, 0.499558
1.931e+00_9.657e-01_1.245e-01_8.066e-01_3.450e-02_2.200e+02.h5, 0.297126
2.180e+00_1.541e+00_1.118e+00_3.797e-01_4.347e-02_2.270e+02.h5, 0.577622
2.136e+00_1.482e+00_4.932e-01_9.317e-01_5.759e-02_3.130e+02.h5, 0.539573
1.890e+00_1.395e+00_5.419e-01_8.368e-01_1.609e-02_1.020e+02.h5, 0.549427
4.514e-01_7.018e-01_1.970e-01_4.760e-01_2.882e-02_1.090e+02.h5, 0.535848
1.351e+00_7.995e-01_4.404e-01_3.433e-01_1.577e-02_2.100e+01.h5, 0.374294
1.102e+00_1.387e+00_3.988e-01_9.229e-01_6.521e-02_2.100e+02.h5, 0.672796
1.635e+00_1.248e+00_6.799e-01_4.909e-01_7.721e-02_1.400e+02.h5, 0.504283
1.506e+00_7.522e-01_1.094e-01_6.118e-01_3.100e-02_7.400e+01.h5, 0.287524
1.440e+00_1.381e+00_5.507e-01_7.344e-01_9.628e-02_1.100e+02.h5, 0.609889
1.588e+00_1.422e+00_3.842e-01_9.851e-01_5.225e-02_1.120e+02.h5, 0.599496
9.530e-01_9.629e-01_1.777e-01_7.646e-01_2.065e-02_6.100e+01.h5, 0.525338
2.947e+00_1.449e+00_4.910e-01_8.672e-01_9.067e-02_1.700e+01.h5, 0.429178
1.807e+00_1.549e+00_7.336e-01_7.288e-01_8.677e-02_1.300e+01.h5, 0.592262
1.188e+00_1.354e+00_1.097e+00_2.350e-01_2.166e-02_2.900e+01.h5, 0.637920
1.299e+00_1.130e+00_9.056e-01_1.710e-01_5.363e-02_1.000e+01.h5, 0.562943
